book,title,author,genre,num_pages
409,"Life, the Universe and Everything",Douglas Adams,Fiction,224.0
410,The Tale of the Body Thief,Anne Rice,Fiction,468.0
411,The Analects of Confucius,Confucius;Roger T. Ames;Henry Rosemont,Fiction,352.0
412,The Courtesan,Susan Carroll,Fiction,560.0
413,The Dark Arena,Mario Puzo,Fiction,288.0
414,The Talisman,Stephen King;Peter Straub,Fiction,735.0
415,Lights Out,Peter Abrahams,Fiction,352.0
416,Death in Holy Orders,P. D. James,Fiction,429.0
417,1968,Mark Kurlansky,History,480.0
418,Lost and Found,Alan Dean Foster,Fiction,256.0
419,Judas Unchained,Peter F. Hamilton,Fiction,1008.0
420,All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,Self-Help,240.0
421,Perfect Nightmare,John Saul,Fiction,384.0
422,Oh My Stars,Lorna Landvik,Fiction,416.0
423,The Guns of August,Barbara Wertheim Tuchman,History,606.0
424,Vanish,Tess Gerritsen,Fiction,401.0
425,Tempest,Troy Denning,Fiction,400.0
426,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass;Harriet Jacobs,Biography & Autobiography,464.0
427,Enchantment,Orson Scott Card,Fiction,422.0
428,Aldous Huxley,Nicholas Murray,Great Britain,496.0
429,Me Talk Pretty One Day,David Sedaris,Education,272.0
430,Dead Air,Iain Banks,London (England),436.0
431,P.S. I Love You,Valerie Parv,Fiction,192.0
432,Monkey Business,Marvin N. Olasky;John Perry,Religion,368.0
433,Time & Again,Nora Roberts,Man-woman relationships,505.0
434,First Impressions,Nora Roberts,Fiction,250.0
435,Expectant Father,Melinda Curtis,Fiction,304.0
436,The Other Woman,Ann O'Leary,Fiction,213.0
437,Tell Me No Lies,Elizabeth Lowell,Fiction,576.0
438,The Perfect Score,Julie Kenner,Fiction,240.0
439,Winter Moon,Mercedes Lackey;Tanith Lee;C. E. Murphy,Fiction,393.0
440,Brighid's Quest,P. C. Cast,Fiction,507.0
441,The Foundling,Lloyd Alexander,Juvenile Fiction,98.0
442,Sylvester,Georgette Heyer,Fiction,410.0
443,Sylvia,Leonard Michaels,Fiction,129.0
444,Uncommon Carriers,John McPhee,Literary Collections,248.0
445,The Natural,Bernard Malamud,Fiction,231.0
446,The Slave,Isaac Bashevis Singer,Fiction,320.0
